student_id;weekly_study_hours;reading_frequeny(non_scientific books_journals);reading_frequeny(scientific books_journals);attendance_to_seminars_conferences_related_to_department;impact_of_projects_activities_on_success;class_attendence;mid_term_exams_preparation;mid_term_exams_preparation_time;taking_notes_in_classes;listening_in_class;discussion_improves_interest_success_in_course;flip_classroom; cumulative_grade_point_average_last_semester;expected_cumulative_grade_point_average_graduation;course_id;output_grade
STUDENT69;0;Sometimes;Sometimes;yes;positive;sometimes;alone;closest date to the exam;sometimes;sometimes;always;useful;3.42;2.7;3;Good
STUDENT70;0;None;Sometimes;yes;positive;always;with friends;closest date to the exam;always;sometimes;always;not useful;2.76;2.02;3;Good
STUDENT71;3;Sometimes;Sometimes;yes;positive;always;alone;closest date to the exam;sometimes;sometimes;always;not useful;3.73;3.39;3;Excellent
STUDENT72;4;Sometimes;None;yes;positive;always;alone;closest date to the exam;sometimes;always;always;not applicable;2.14;2.02;3;Very Good
STUDENT73;4;Often;Often;yes;positive;always;alone;closest date to the exam;sometimes;sometimes;always;useful;2.84;2.61;3;Very Good
STUDENT74;10;None;None;no;positive;always;alone;regularly during the semester;always;sometimes;always;not useful;3.73;2.71;3;Very Good
STUDENT75;1;Sometimes;Sometimes;no;positive;always;with friends;closest date to the exam;always;sometimes;always;useful;2.57;2.99;3;Excellent
STUDENT76;9;Often;None;yes;positive;always;alone;closest date to the exam;sometimes;sometimes;sometimes;useful;3.39;1.6;3;Excellent
STUDENT77;3;Often;Sometimes;yes;positive;always;not applicable;regularly during the semester;sometimes;never;sometimes;not applicable;2.14;2.33;4;Above Average
STUDENT78;3;Sometimes;Sometimes;no;positive;sometimes;not applicable;closest date to the exam;sometimes;sometimes;sometimes;useful;0.99;1.57;4;Excellent
STUDENT79;2;Often;Often;yes;positive;sometimes;alone;closest date to the exam;always;always;sometimes;useful;2.28;2.46;4;Above Average
STUDENT80;0;Sometimes;Sometimes;yes;neutral;always;alone;closest date to the exam;always;always;always;useful;3.43;3.1;4;Average
STUDENT81;0;None;None;yes;neutral;always;alone;closest date to the exam;sometimes;always;never;useful;3.37;2.35;5;Above Average
STUDENT82;3;Sometimes;Sometimes;yes;positive;always;alone;closest date to the exam;always;always;sometimes;not applicable;3.87;3.02;5;Average
STUDENT83;1;Sometimes;Often;yes;positive;always;alone;closest date to the exam;always;always;sometimes;not applicable;3.05;2.8;5;Excellent
STUDENT84;0;Sometimes;Sometimes;yes;positive;always;not applicable;closest date to the exam;always;sometimes;always;not applicable;0.92;2.09;5;Excellent
STUDENT85;0;Sometimes;Sometimes;yes;positive;always;not applicable;never;always;always;always;not applicable;3.86;3.09;5;Excellent
STUDENT86;0;None;None;yes;positive;always;alone;closest date to the exam;always;sometimes;always;not applicable;3.3;2.74;5;Above Average
STUDENT87;3;Sometimes;Sometimes;yes;positive;always;alone;closest date to the exam;always;sometimes;always;useful;3.62;3.3;5;Good
STUDENT88;1;Sometimes;Sometimes;yes;positive;always;with friends;closest date to the exam;sometimes;sometimes;sometimes;useful;1.5;1.81;6;Very Good
STUDENT89;2;Sometimes;Sometimes;yes;positive;always;alone;regularly during the semester;always;never;sometimes;not applicable;3.76;2.86;6;Very Good
STUDENT90;3;Sometimes;Sometimes;yes;positive;sometimes;alone;closest date to the exam;always;never;always;not applicable;2.67;2.35;6;Very Good
STUDENT91;4;Sometimes;Sometimes;yes;positive;always;alone;closest date to the exam;sometimes;always;sometimes;not applicable;3.39;2.25;6;Very Good
STUDENT92;2;Sometimes;Sometimes;yes;positive;always;alone;closest date to the exam;sometimes;always;always;useful;3.91;3.45;6;Very Good
STUDENT93;7;Sometimes;Sometimes;yes;positive;always;alone;closest date to the exam;always;sometimes;always;not applicable;2.05;2.08;6;Excellent
STUDENT94;35;Sometimes;None;yes;positive;always;alone;closest date to the exam;always;always;always;useful;2.45;2.49;6;Above Average
STUDENT95;3;Sometimes;Often;yes;positive;always;alone;closest date to the exam;always;sometimes;sometimes;not applicable;3.93;3.16;6;Very Good
STUDENT96;1;Sometimes;Often;yes;positive;always;alone;closest date to the exam;always;sometimes;sometimes;not useful;3.14;2.99;7;Good
STUDENT97;4;Often;Sometimes;yes;positive;always;alone;closest date to the exam;always;sometimes;always;useful;2.01;2.63;7;Excellent
STUDENT98;4;Sometimes;Sometimes;yes;positive;always;alone;closest date to the exam;always;sometimes;sometimes;not useful;2.63;2.71;7;Very Good
STUDENT99;4;Often;Sometimes;yes;positive;always;alone;closest date to the exam;always;never;sometimes;not useful;3.27;3.04;7;Excellent
STUDENT100;10;Sometimes;Sometimes;yes;positive;always;alone;closest date to the exam;always;sometimes;always;useful;2.38;2.28;7;Excellent
STUDENT101;4;Sometimes;Sometimes;yes;positive;always;alone;closest date to the exam;sometimes;sometimes;sometimes;not useful;2.72;2.84;7;Very Good
STUDENT102;1;Sometimes;Sometimes;yes;positive;always;alone;closest date to the exam;always;always;sometimes;not useful;2.23;2.66;7;Excellent
STUDENT103;1;Sometimes;Sometimes;no;positive;always;alone;closest date to the exam;always;never;sometimes;not useful;2.78;3.16;7;Excellent
STUDENT104;4;Often;Sometimes;yes;positive;always;alone;closest date to the exam;sometimes;sometimes;always;useful;3.22;3.29;7;Excellent
STUDENT105;4;Sometimes;Sometimes;yes;positive;always;alone;closest date to the exam;sometimes;always;sometimes;useful;1.93;1.01;7;Average
STUDENT106;2;Often;Sometimes;yes;positive;sometimes;alone;regularly during the semester;sometimes;never;always;not useful;2.66;2.94;7;Excellent
STUDENT107;10;Sometimes;Sometimes;yes;positive;always;not applicable;regularly during the semester;sometimes;sometimes;sometimes;not useful;3.32;3.17;7;Excellent
STUDENT108;2;Sometimes;Sometimes;yes;positive;always;with friends;closest date to the exam;sometimes;always;sometimes;not useful;3.25;2.15;7;Very Good
STUDENT109;7;Often;Sometimes;yes;positive;sometimes;alone;closest date to the exam;sometimes;always;never;useful;2.83;2.95;7;Very Good
STUDENT110;10;Sometimes;Sometimes;yes;positive;always;with friends;regularly during the semester;always;sometimes;always;not useful;3.2;3.38;7;Excellent
STUDENT111;1;Sometimes;Sometimes;yes;positive;sometimes;alone;closest date to the exam;sometimes;sometimes;sometimes;not useful;2.15;2.82;8;Below Average
STUDENT112;0;Sometimes;Sometimes;no;negative;always;alone;closest date to the exam;always;never;always;not applicable;3.32;2.63;8;Below Average
STUDENT113;0;None;None;no;neutral;always;with friends;closest date to the exam;always;always;always;not useful;3.33;2.19;8;Below Average
STUDENT114;1;Sometimes;Often;no;neutral;sometimes;with friends;closest date to the exam;sometimes;sometimes;never;not useful;0.85;2.15;8;Poor
STUDENT115;2;Sometimes;Sometimes;no;negative;always;alone;closest date to the exam;sometimes;sometimes;never;useful;1.34;1.59;8;Below Average
STUDENT116;6;Often;Sometimes;no;neutral;always;with friends;regularly during the semester;always;sometimes;always;useful;2.05;2.45;8;Poor
STUDENT117;10;Often;Often;no;positive;always;alone;closest date to the exam;always;always;always;not useful;2.38;2.77;8;Poor
STUDENT118;2;Sometimes;Often;no;positive;sometimes;alone;closest date to the exam;sometimes;always;sometimes;not useful;2.19;2.65;8;Poor
STUDENT119;0;Sometimes;Sometimes;yes;positive;always;not applicable;closest date to the exam;always;always;sometimes;useful;2.85;2.93;8;Poor
STUDENT120;21;Sometimes;Sometimes;yes;positive;always;alone;regularly during the semester;sometimes;sometimes;always;not useful;2.93;2.88;8;Below Average
STUDENT121;0;None;None;yes;positive;sometimes;with friends;closest date to the exam;always;always;always;useful;2.3;2.34;8;Poor
STUDENT122;40;Often;Often;yes;neutral;always;with friends;closest date to the exam;never;never;never;not useful;0.43;1.02;8;Fail
STUDENT123;3;None;Sometimes;yes;negative;always;with friends;closest date to the exam;always;sometimes;sometimes;not useful;3.31;2.68;8;Below Average
STUDENT124;1;Sometimes;Often;no;positive;always;alone;closest date to the exam;always;always;sometimes;not useful;0.81;0.21;8;Poor
STUDENT125;19;Sometimes;Sometimes;no;positive;always;with friends;regularly during the semester;always;always;sometimes;not useful;2.63;2.63;9;Average
STUDENT126;10;Sometimes;Often;no;positive;always;alone;regularly during the semester;always;sometimes;always;not useful;0.81;2.62;9;Below Average
STUDENT127;15;Sometimes;Often;yes;positive;always;with friends;closest date to the exam;always;always;always;not useful;2.31;2.05;9;Average
STUDENT128;1;None;None;no;positive;always;alone;closest date to the exam;always;sometimes;sometimes;not useful;2.09;2.06;9;Poor
STUDENT129;3;None;None;no;positive;always;alone;closest date to the exam;always;sometimes;sometimes;not useful;2.49;2.29;9;Fail
STUDENT130;13;Sometimes;Often;no;positive;always;with friends;regularly during the semester;always;sometimes;always;useful;2.19;2.88;9;Average
STUDENT131;14;Sometimes;Sometimes;no;positive;always;alone;regularly during the semester;always;never;always;useful;2.32;2.83;9;Poor
STUDENT132;15;None;Often;no;positive;always;alone;regularly during the semester;always;sometimes;always;not useful;3.67;2.6;9;Above Average
STUDENT133;4;Sometimes;Often;no;positive;always;with friends;closest date to the exam;always;sometimes;always;not useful;3.77;3.28;9;Average
STUDENT134;6;None;Sometimes;no;positive;always;alone;closest date to the exam;always;always;always;useful;3.55;2.92;9;Average
STUDENT135;3;Sometimes;Sometimes;no;positive;always;alone;closest date to the exam;sometimes;never;sometimes;not useful;2.22;2.64;9;Poor
STUDENT136;3;Often;Sometimes;yes;neutral;always;alone;closest date to the exam;always;always;sometimes;not useful;2.84;2.43;9;Below Average
STUDENT137;3;Sometimes;Sometimes;no;positive;always;not applicable;closest date to the exam;always;sometimes;sometimes;not useful;2.37;2.19;9;Fail
STUDENT138;1;Sometimes;Sometimes;yes;positive;always;alone;closest date to the exam;always;never;always;not useful;2.3;3.05;9;Below Average
STUDENT139;3;Sometimes;Often;no;neutral;always;with friends;closest date to the exam;always;sometimes;always;not useful;0.17;2.67;9;Fail
STUDENT140;0;None;Sometimes;no;positive;sometimes;with friends;closest date to the exam;sometimes;always;sometimes;not useful;1.48;2.07;9;Fail
STUDENT141;9;Often;Sometimes;yes;positive;always;alone;closest date to the exam;sometimes;never;sometimes;not useful;2.76;2.57;9;Good
STUDENT142;7;Sometimes;Sometimes;no;positive;sometimes;alone;closest date to the exam;always;sometimes;sometimes;not useful;3.88;2.87;9;Good
STUDENT143;3;Sometimes;Sometimes;yes;positive;always;alone;closest date to the exam;always;always;sometimes;not useful;3.45;2.79;9;Poor
STUDENT144;2;Sometimes;None;yes;positive;always;with friends;closest date to the exam;sometimes;never;sometimes;not useful;3.5;2.54;9;Above Average
STUDENT145;8;None;None;yes;positive;always;with friends;closest date to the exam;always;sometimes;always;not useful;3.76;3.4;9;Average
